Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentication,Chrome 95.0.4638.54,,,2021-10-30 17:01:22,2021-10-30 17:02:37,1m - 14.721s,PASSED
,,,,,,,
Test Cases/Sign Up Brick - Failed,Chrome 95.0.4638.54,,,2021-10-30 17:01:23,2021-10-30 17:01:43,20.314s,PASSED
"openBrowser("""")",Chrome 95.0.4638.54,,,2021-10-30 17:01:23,2021-10-30 17:01:26,3.037s,PASSED
navigateToUrl(url),Chrome 95.0.4638.54,,,2021-10-30 17:01:26,2021-10-30 17:01:30,3.548s,PASSED
"click(findTestObject(""Sign Up Page - Brick/registerBtn""))",Chrome 95.0.4638.54,,,2021-10-30 17:01:30,2021-10-30 17:01:30,0.524s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorFirstName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:01:30,2021-10-30 17:01:31,0.536s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorLastName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:01:31,2021-10-30 17:01:31,0.418s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorEmail""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:01:31,2021-10-30 17:01:32,0.370s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:01:32,2021-10-30 17:01:32,0.377s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorConfirmPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 17:01:32,2021-10-30 17:01:32,0.374s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/firstNameField""), ""aisyah"")",Chrome 95.0.4638.54,,,2021-10-30 17:01:32,2021-10-30 17:01:33,0.721s,PASSED
